Event,Model,Epochs,K,Dataset,Test,Metric,Value
tstr,GANBLR,150,0,superstore,svm,accuracy,0.9294647323661832
sdv_eval,GANBLR,150,0,superstore,sdv_eval,quality_score,0.3555227833710581
trtr,GANBLR,150,0,superstore,adaboost,accuracy,0.9104552276138068
trtr,GANBLR,150,0,superstore,random_forest,accuracy,0.9649824912456229
trtr,GANBLR,150,0,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,150,0,superstore,adaboost,accuracy,0.9324662331165584
tstr,GANBLR,150,0,superstore,random_forest,accuracy,0.950975487743872
tstr,GANBLR,150,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,150,0,superstore,sdv_eval,quality_score,0.3563365291902414
trtr,GANBLR,150,1,superstore,adaboost,accuracy,0.9104552276138068
trtr,GANBLR,150,1,superstore,random_forest,accuracy,0.967983991995998
trtr,GANBLR,150,1,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,150,1,superstore,adaboost,accuracy,0.7863931965982992
tstr,GANBLR,150,1,superstore,random_forest,accuracy,0.9569784892446224
tstr,GANBLR,150,1,superstore,svm,accuracy,0.9244622311155578
sdv_eval,GANBLR,150,1,superstore,sdv_eval,quality_score,0.4180064857097327
trtr,GANBLR,150,1,superstore,adaboost,accuracy,0.9104552276138068
trtr,GANBLR,150,1,superstore,random_forest,accuracy,0.9664832416208105
trtr,GANBLR,150,1,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,150,1,superstore,adaboost,accuracy,0.3621810905452726
tstr,GANBLR,150,1,superstore,random_forest,accuracy,0.8994497248624312
tstr,GANBLR,150,1,superstore,svm,accuracy,0.9334667333666832
sdv_eval,GANBLR,150,1,superstore,sdv_eval,quality_score,0.4169406947198622
trtr,GANBLR,150,1,superstore,adaboost,accuracy,0.9104552276138068
trtr,GANBLR,150,1,superstore,random_forest,accuracy,0.9639819909954978
trtr,GANBLR,150,1,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,150,1,superstore,adaboost,accuracy,0.8469234617308654
tstr,GANBLR,150,1,superstore,random_forest,accuracy,0.9249624812406204
tstr,GANBLR,150,1,superstore,svm,accuracy,0.9314657328664332
sdv_eval,GANBLR,150,1,superstore,sdv_eval,quality_score,0.4154947514003355
trtr,CTGAN,150,0,superstore,adaboost,accuracy,0.9104552276138068
trtr,CTGAN,150,0,superstore,random_forest,accuracy,0.9654827413706852
trtr,CTGAN,150,0,superstore,svm,accuracy,0.928464232116058
tstr,CTGAN,150,0,superstore,adaboost,accuracy,0.64032016008004
tstr,CTGAN,150,0,superstore,random_forest,accuracy,0.9289644822411206
tstr,CTGAN,150,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,CTGAN,150,0,superstore,sdv_eval,quality_score,0.7806312575473555
trtr,CTGAN,150,0,superstore,adaboost,accuracy,0.9104552276138068
trtr,CTGAN,150,0,superstore,random_forest,accuracy,0.9644822411205602
trtr,CTGAN,150,0,superstore,svm,accuracy,0.928464232116058
tstr,CTGAN,150,0,superstore,adaboost,accuracy,0.671335667833917
tstr,CTGAN,150,0,superstore,random_forest,accuracy,0.9319659829914958
tstr,CTGAN,150,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,CTGAN,150,0,superstore,sdv_eval,quality_score,0.8086897593142364
trtr,CTGAN,150,0,superstore,adaboost,accuracy,0.9104552276138068
trtr,CTGAN,150,0,superstore,random_forest,accuracy,0.9639819909954978
trtr,CTGAN,150,0,superstore,svm,accuracy,0.928464232116058
tstr,CTGAN,150,0,superstore,adaboost,accuracy,0.3861930965482741
tstr,CTGAN,150,0,superstore,random_forest,accuracy,0.9334667333666832
tstr,CTGAN,150,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,CTGAN,150,0,superstore,sdv_eval,quality_score,0.7865727011989472
